strain	accession	date	country	city
KJ476633	KJ476633	2013-04-16	China	Beijing
KJ476641	KJ476641	2013-04-16	China	Beijing
KJ476649	KJ476649	2013-04-16	China	Beijing
KF420296	KF420296	2013-03-22	China	Changsha
KF420297	KF420297	2013-04-29	China	Changsha
KC994453	KC994453	2013-04-24	China	Fujian
KJ023067	KJ023067	2013-12-15	China	Guangdong
KJ023074	KJ023074	2013-12-16	China	Guangdong
KJ023082	KJ023082	2013-12-17	China	Guangdong
KF662943	KF662943	2013-08-10	China	Guangdong
KJ415822	KJ415822	2014-01-26	China	Guangzhou
KJ415823	KJ415823	2014-01-26	China	Guangzhou
KC853766	KC853766	2013-03-24	China	Hangzhou
KF001513	KF001513	2013-04-01	China	Hangzhou
KF001516	KF001516	2013-04-08	China	Hangzhou
KP864455	KP864455	2014-02-14	China	Huai'an
KP864457	KP864457	2014-02-24	China	Huai'an
KP864459	KP864459	2014-03-02	China	Huai'an
KP864443	KP864443	2014-05-27	China	Huai'an
KF667739	KF667739	2013-08-08	China	Huizhou
KF278745	KF278745	2013-04-20	China	Jiangsu
KM392387	KM392387	2013-03-31	China	Jiangsu
KF226113	KF226113	2013-04-20	China	Jiangsu
KM392395	KM392395	2013-03-31	China	Jiangsu
KF226105	KF226105	2013-04-20	China	Jiangsu
KY286419	KY286419	2013-02-27	China	Minhang
KF261988	KF261988	2013-04-24	China	Nanchang
KC896774	KC896774	2013-03-28	China	Nanjing
KF007044	KF007044	2013-04-05	China	Nanjing
KF007052	KF007052	2013-04-07	China	Nanjing
KF007116	KF007116	2013-04-11	China	Nanjing
KF007148	KF007148	2013-04-13	China	Nanjing
KJ411975	KJ411975	2014-01-03	China	Shanghai
KF021597	KF021597	2013-03-05	China	Shanghai
KC853228	KC853228	2013-03-05	China	Shanghai
KF918659	KF918659	2013-04-02	China	Shanghai
KP969031	KP969031	2013-04-04	China	Shanghai
KF609511	KF609511	2013-04-03	China	Shanghai
KF609503	KF609503	2013-04-17	China	Shanghai
KJ946417	KJ946417	2014-01-03	China	Shanghai
KJ195792	KJ195792	2014-01-17	China	Shanghai
KJ195797	KJ195797	2014-01-17	China	Shanghai
KP414138	KP414138	2014-01-14	China	Shenzhen
KP414106	KP414106	2014-01-11	China	Shenzhen
KP416630	KP416630	2014-03-12	China	Shenzhen
KP416638	KP416638	2014-03-15	China	Shenzhen
KP416646	KP416646	2014-03-18	China	Shenzhen
KP417422	KP417422	2014-03-23	China	Shenzhen
KP417430	KP417430	2014-04-02	China	Shenzhen
KP414146	KP414146	2014-01-18	China	Shenzhen
KP414122	KP414122	2014-01-20	China	Shenzhen
KP414130	KP414130	2014-01-20	China	Shenzhen
KP414154	KP414154	2014-01-22	China	Shenzhen
KP414114	KP414114	2014-01-16	China	Shenzhen
KP414162	KP414162	2014-01-23	China	Shenzhen
KP414170	KP414170	2014-01-23	China	Shenzhen
KP414178	KP414178	2014-01-25	China	Shenzhen
KP416598	KP416598	2014-01-25	China	Shenzhen
KP416606	KP416606	2014-01-30	China	Shenzhen
KP416622	KP416622	2014-02-05	China	Shenzhen
KP416614	KP416614	2014-02-15	China	Shenzhen
KF007108	KF007108	2013-04-09	China	Suzhou
KF007140	KF007140	2013-04-12	China	Suzhou
MG214209	MG214209	2014-01-26	China	Wuxi
MG214206	MG214206	2014-03-17	China	Wuxi
MG214211	MG214211	2013-04-02	China	Wuxi
MG214207	MG214207	2014-04-09	China	Wuxi
MG214204	MG214204	2014-04-10	China	Wuxi
MG214208	MG214208	2014-04-23	China	Wuxi
KF034911	KF034911	2013-03-31	China	Wuxi
KF034919	KF034919	2013-03-31	China	Wuxi
KF007068	KF007068	2013-04-07	China	Wuxi
KF007076	KF007076	2013-04-07	China	Wuxi
KF150616	KF150616	2013-04-25	China	Xuzhou
KP762517	KP762517	2014-11-27	China	Zhejiang
KJ633809	KJ633809	2013-04-03	China	Zhejiang
KC885956	KC885956	2013-04-03	China	Zhejiang
KF732005	KF732005	2013-10-14	China	Zhejiang
KM374042	KM374042	2014-02-08	China	Zhejiang
KF007060	KF007060	2013-04-07	China	Zhenjiang
MN686727	MN686727	2014-02-19	China	Wuhu
KF258952	KF258952	2009-XX-XX	China	Jiangxi
KF258987	KF258987	2009-XX-XX	China	Jiangxi
KF258953	KF258953	2009-XX-XX	China	Jiangxi
